year,country,hospital,equipment,oem,model,sn,fix,result,notes
2011,40749.0,Matthew Fisher,Pulse Oximeter,CRITICARE SYSTEMS ENC.,Mini SPO2t,103-101715 E,"Electric Simple, Mechanical Simple, Installation/Training",Repaired,Connection loose on the adult monitor but it belongs to the pediatric ward and they said they only need the baby one anyway and that one worked fine
2011,40749.0,Matthew Fisher,"Blood Pressure Device, Automatic (NIBP)",OMRON,HEM-432CN2,20070105642LF,"Electric Simple, Mechanical Simple, Installation/Training",Repaired,"Battery springs in the back rusted off so we replaced them, also they required training on how to use the device"
2011,40749.0,Matthew Fisher,Scales (laboratory and in wards),AXIOM GMBH,Standing adult scale,,Mechanical Simple,Repaired,The place where you stand was not connected correctly. We realligned it and calibrated the scale at 0
2011,40749.0,Matthew Fisher,"Lamp, surgical",STANDARD NORME,~0114100,941362.0,Electric Simple,Abandoned,Transformer not working
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,FAZZINI,F-30,50313.0,Mechanical Simple,,Suction good directly out of machine but leak in the cannister. Applied silicon to the inside lining - works well
2011,40749.0,Matthew Fisher,SIMC,YB-DWJ-1,~00020,,Motor,Abandoned,motor makes noise but nothing happens suctionwise. Extremely old/ crummy - cannibalized
2011,40749.0,Matthew Fisher,Scales (laboratory and in wards),NIKAI,,,Mechanical Simple,Repaired,Took apart and put back together working well now
2011,40749.0,Matthew Fisher,"Autoclave (lab, surgery, and other)",AESCULAP ,340 ST,,,Abandoned,"Big autoclabe, seal now working?"
2011,40749.0,Matthew Fisher,Other,KENWOOD,SK175,4f22,"Electric Simple, Power Supply",Repaired,"Replaced plug, works"
2011,40749.0,Matthew Fisher,"Lamp, examination",Made in China (only information available),,,"Electric Simple, Power Supply",Repaired,Big lights not working but replaced the rechargable battery so that the small light where the lightbulb is still working lights up
2011,40749.0,Matthew Fisher,Scales (laboratory and in wards),CAMRY,,,Mechanical Simple,Repaired,"missing one of the four things that keeps it level, canabalized from a broken scale works now. "
2011,40749.0,Matthew Fisher,Other,NIKAI,NK 817,,Electric Simple,Repaired,"Took out switch mechanics and hooked power straight to heating, works now"
2011,40749.0,Matthew Fisher,Oxygen Concentrator,Nuvo,Mark 5,7200666.0,Other,Repaired,Maintenance + tried to attach missing wheels whithout luck
2011,40749.0,Matthew Fisher,Other,Dong Yi,DY824,,Electric Simple,Repaired,"powercorded splitter, burned plug and splitter, fixed three of four plugs on the splitter"
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,ESCHMAN,OP-100,11965.0,Mechanical Simple,Repaired,"took apart, put back together working. Piston was stuck most likely within the motor"
2011,40749.0,Matthew Fisher,Shaker Machine (laboratory),LINEA Tech,TAC-200S,,,Repaired,"took out timing mechanism, motor worked fine so works"
2011,40749.0,Matthew Fisher,"Lamp, surgical",SIEMENS,D3135,9405 -S- 02,Power Supply,Repaired,Replaced plug
2011,40749.0,Matthew Fisher,"Lamp, surgical",LUXO,MOL 89,,,Abandoned,Could not get voltage into the bulb socket even though voltage was coming into the system. Battery dead
2011,40749.0,Matthew Fisher,"Lamp, surgical",DARAY ,4000 Standard model,49363.0,,Abandoned,Could not get voltage into the bulb socket even though voltage was coming into the system.loses volatage in transformer 
2011,40749.0,Matthew Fisher,Aspirator/Suction Machine,FAZZINI,F-30,50268.0,,,"Suction good, repaired the canister"
2011,Tanzania,Ithna Asheri / Arusha,ECG Machine,Phillips,A3,,Power Supply,Repaired,"Dead 6V 8Ah batter, replaced with new 6V 4Ah battery. Also replaced battery wiring harness. All system parameters (Sp02, ECG, NiBP) verified as functioning properly. "
2011,Tanzania,Ithna Asheri / Arusha,Defibrillator (automatic and manual),Nihon Kohden Corporation,TEC-7100K,20368.0,"Power Supply, Other",Abandoned,"No Battery, perhaps other problems. System will not turn on. Connected power supply to battery connection and system turned on. However, defibrilator tester brought by EWH to Africa was non-functional and we were unable to test the machine for further troubleshooting. "
2011,Tanzania,Ithna Asheri / Arusha,UPS (battery backup for computer),Nippon Keidenki Works Ltd.,SVC-1000W,*030101464,"Electric Simple, Mechanical Simple",Repaired,"Functions normally, 2-pin output socket changed to 3-pin universal socket."
2011,Tanzania,Ithna Asheri / Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",(Unknown),Desk Model TXJ-10 (CE 0197),,"Plumbing, Mechanical Simple",Repaired,Tightened down plumbing and re-calibrated desk style mercury sphygomomanometer. System tested and verified as functioning. Returned to service. 
2011,Tanzania,Ithna Asheri / Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",(Unknown),Desk Model TXJ-10 (CE 0197),,"Plumbing, Mechanical Simple",Abandoned,Mercury tube was shattered and we were given loose mercury within the case of the desk style sphygomomanometer. Attempted to gather and clean mercury and place inside new glass tube. Glass tube could not hold mercury under pressure and we were unable to find a suitable replacement. Repair attempt resulted in failure.
2011,Tanzania,Ithna Asheri / Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",(Unknown),CE 0483,,Mechanical Simple,Repaired,Portable pouch style sphygmomanometer was recalibrated by adjusting inner diaphragm and gear mechanisms. System tested and verified as functioning. Returned to service. 
2011,Tanzania,Ithna Asheri / Arusha,Thermometers,IVAC Corporation,2090.0,2090E0076397,Installation/Training,Repaired,System was functioning. Tested system to verify proper function. Explained to Doctor in Charge and ICU Nurses (the primary users of the device) how to operate properly. 
2011,Tanzania,Ithna Asheri / Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",(Unknown),Desk Model TXJ-10 (CE 0197),,Mechanical Simple,Repaired,"Was giving low pressure readings. Added Mercury, now fixed and functional"
2011,Tanzania,Ithna Asheri / Arusha,Anesthesia Machine,BOC Health Care,Ohmeda Anesthesia System Excel 210 ANSI,AMAT00410,Mechanical Simple,Repaired,"Oxygen control knob was detached, it has been successful replaced."
2011,Tanzania,Ithna Asheri / Arusha,Incubator (infant),"CSA, UL",Model C100/200-2,DE13860,"Power Supply, Installation/Training",,"System requires 120VAC and hospital did not have suitable transformer. Moreover, a lack of testing of the machine led to low hospital staff confidence of the incubator which in turn resulted in lack of use and deteriorating training and knowledge on how to operate the device. After testing the device and ensuring proper function, new incubator operation instructions are to be typed to distribute to the relevant hospital staff and a training session was held with the head nurses. "
2011,Tanzania,Ithna Asheri / Arusha,Aspirator/Suction Machine,Simonsen n Weel,MK80-45,1506482.0,Plumbing,Repaired,"Labor ward, Poor suction reported. Machine has been cleaned and Pressure adjustment valve tightened. Now has improved suction"
2011,,,Bodega,Other,WarmTouch,Patient Warming System,"Plumbing, Installation/Training",Repaired,
2011,,,Medicina,Other,MADA Inc,172MadaVac-I,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Infusion pumps,B Braun,Infusomat FMS,"Plumbing, Mechanical Simple, Installation/Training",,
2011,,,Medicina,Other,Sunrise,5650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Other,Sunrise,5650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Other,Sunrise,5650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Other,Sunrise,5650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",DemeTech,CE0123,"Power Supply, Installation/Training, Other",,
2011,,,Medicina,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",DemeTech,CE0123,"Power Supply, Installation/Training, Other",,
2011,,,Medicina,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Tycos,CE0050,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Omron,398466.0,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Other,EuroVac,L-10i,"Plumbing, Power Supply, Installation/Training",,
2011,,,Medicina,Other,EuroVac,L-10i,"Plumbing, Power Supply, Installation/Training",,
2011,,,Medicina,"Lamp, examination",UL Listed,,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Medicina,Other,Genvron,,"Power Supply, Installation/Training",,
2011,,,Medicina,Other,Invacare,,"Plumbing, Power Supply, Installation/Training",,
2011,,,Medicina,"Lamp, examination",Premier,EM-1968,"Power Supply, Installation/Training",,1.0
2011,,,Medicina,Other,Tenko,TK-1033,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Ginecologia,Fetal steth (fetoscope or  Doppler),Dopplex,D920,"Mechanical Simple, Installation/Training",,1.0
2011,,,Ginecologia,Scales (laboratory and in wards),Health o Meter,,"Power Supply, Installation/Training, Other",,
2011,,,Pediatria,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",WelchAllyn,,"Power Supply, Installation/Training, Other",,
2011,,,Pediatria,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",,CE0473,"Power Supply, Installation/Training, Other",,
2011,,,Pediatria,Other,Sunrise,3650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Pediatria,Other,PulmoAide,5650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Pediatria,Other,PulmoAide,4650D,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Pediatria,"Bed, delivery",,,"Mechanical Simple, Installation/Training",,
2011,,,Pediatria,Other,,,"Power Supply, Installation/Training",,
2011,,,Pediatria,Other,,,"Power Supply, Installation/Training",,
2011,,,Pediatria,Other,,,"Power Supply, Installation/Training",,
2011,,,Recien Nacido,Infusion pumps,B Braun,MELSUNGEN AG,"Plumbing, Power Supply, Installation/Training",,
2011,,,Recien Nacido,"Lamp, examination",,,"Power Supply, Installation/Training",,
2011,,,Recien Nacido,Incubator (infant),Air-Shields Vickers,C100/200-2,"Plumbing, Mechanical Simple, Installation/Training",,
2011,,,X Ray,X-Ray Machine,UX Universal,Unimatic 325,"Power Supply, Installation/Training",Repaired,
2011,,,Surgery,"Lamp, surgical",JS,,"Power Supply, Installation/Training",,
2011,,,Surgery,Anesthesia Machine,Ohmeda,1010-9018-000,"Plumbing, Power Supply, Installation/Training",,
2011,,,Centro de Salud,Microscope ,,,"Power Supply, Installation/Training",Repaired,
2011,,,Medicina,Other,Mada Medical Products,1333-15,"Plumbing, Power Supply, Installation/Training",,1.0
2011,,,Bodega,"Lamp, examination",,,"Power Supply, Installation/Training",,1.0
2011,,,Pediatria,"Furniture (chairs, tables, and beds)",Armstrong Medical,A-Smart Cart System,"Electric Simple, Installation/Training",Repaired,
2011,,,Mantenimiento,other,BK,66B360TRE,Installation/Training,,1.0
2011,,,Lavanderia,other,ADC,,"Power Supply, Installation/Training",,1.0
2011,,,Cocina,other,unknown,,Installation/Training,,1.0
2011,,,Emergencia,"Lamp, examination",Unknown,Unknown,"Power Supply, Installation/Training",,1.0
2011,,,Farmacia,Other,unknown,Unknown,"Power Supply, Installation/Training",,1.0
2011,,,Quirofano,Electrosurgery Unit (ESU),,EM 03,"Power Supply, Installation/Training",,1.0
2011,,,Esterilizacion,"Autoclave (lab, surgery, and other)",Unknown,Unknown,"Power Supply, Installation/Training",,1.0
2011,,,Emergencia,Infusion pumps,Goldway US Inc.,LT4610,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Pediatrics,Air Compressor,AlphaNeb plus,3200.0,"Plumbing, Power Supply, Installation/Training, Other",,
2011,,,Pediatrics,Air Compressor,Spider-Neb,18020.0,"Plumbing, Power Supply, Other",,
2011,,,Pediatrics,Air Compressor,Sunrise (DeVILBISS),565OD,"Plumbing, Power Supply, Other",,
2011,,,Pediatrics,Air Compressor,OMRON,NE-C16 COMP-AIR,"Plumbing, Power Supply, Other",,1.0
2011,,,Laboratory,Microscope ,Olympus,CH30RF110,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Women's Health,Fetal steth (fetoscope or  Doppler),Nicolet Vascular Elite,100R,"Plumbing, Power Supply, Installation/Training",Repaired,
2011,,,Women's Health,Fetal steth (fetoscope or  Doppler),Summit Doppler,L150,"Plumbing, Power Supply, Installation/Training",Repaired,
2011,,,Women's Health,Fetal steth (fetoscope or  Doppler),bistos,BT200,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Women's Health,Fetal steth (fetoscope or  Doppler),,,"Power Supply, Other",,1.0
2011,,,Pediatrics,Air Compressor,Sunrise (DeVILBISS),565OD,"Plumbing, Power Supply, Other",,1.0
2011,,,Adult Obstetrics,Air Compressor,John Bunn,Neb-u-lite AP-100100,"Plumbing, Power Supply",,
2011,,,Pediatrics,Air Compressor,AlphaNeb plus,3200.0,"Plumbing, Power Supply, Other",,1.0
2011,,,Pediatrics,Air Compressor,Graham Field Health Products,AP-100100,"Plumbing, Power Supply, Other",,1.0
2011,,,Pediatrics,Air Compressor,John Bunn,JB0-112-010,"Plumbing, Power Supply, Other",,1.0
2011,,,Pediatrics,Air Compressor,Sunrise (DeVILBISS),5650D,"Plumbing, Power Supply, Other",,1.0
2011,,,Pediatrics,Infusion pumps,Cardinal Health,25041RWN1,"Plumbing, Power Supply, Other",,1.0
2011,,,Ultrasound,fetal steth (fetoscope or  Doppler),Vartech Medical Systems,MN Sontrax Basic ,"Plumbing, Power Supply, Other",,1.0
2011,,,Men's Medicine,Pulse Oximeter,Allegheny International Medical Technology,SARA Oximetry System,"Plumbing, Power Supply, Other",,1.0
2011,,,Neonatal,Incubator (infant),AIRCO,22.0,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Neonatal,Incubator (infant),Airshield Vickers,C300,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Men's Medicine,Respiration monitor (apnea monitor),Puritan-Bennett Corp.,Renaissance II PB-700/710,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Nursery,Air Compressor,Sunrise (DeVILBISS),565OD,"Plumbing, Power Supply, Other",,1.0
2011,,,Nursery,Air Compressor,Sunrise (DeVILBISS),565OD,"Plumbing, Power Supply, Other",,1.0
2011,,,Neonatal,Incubator (infant),AIRCO,22.0,"Plumbing, Power Supply, Installation/Training",,1.0
2011,,,Neonatal,Automatic Voltage Regulator,TSI Power,SLC-1260,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Labor,Infusion pumps,Cardinal Health,25041RWN1,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,,,Nursery,ECG Machine,Biosys Guardian,BPM-700P,"Plumbing, Power Supply, Installation/Training, Other",,1.0
2011,Tanzania,Nkoaranga Lutheran Hospital,X-Ray Machine,AMRAD,30-01,1-09-79-004,Other,,Dismantle and Move to another location
2011,Tanzania,Nkoaranga Lutheran Hospital,"Blood Pressure Device, Automatic (NIBP)",Life,5533.0,,Electric Simple,Repaired,Need Batteries & Test Calibration
2011,Tanzania,Nkoaranga Lutheran Hospital,Other,___ai,,,Motor,Abandoned,Generator at the Ophranage (air cooled diesel engine)
2011,Tanzania,Nkoaranga Lutheran Hospital,"Blood Pressure Device, Automatic (NIBP)",Colin Corporation,BP-8800C,A703817,Installation/Training,Repaired,Tested and working (created swahili instructions)
2011,Tanzania,Nkoaranga Lutheran Hospital,"Blood Pressure Device, Automatic (NIBP)",Colin Corporation,BP-8800,S100013,Electric Simple,Abandoned,with printer (not working)
2011,Tanzania,Nkoaranga Lutheran Hospital,Pulse Oximeter,Nellcor Puritan Bennett,NPB-290,G9981730  1990,Installation/Training,Repaired,Works and checked battery life
2011,Tanzania,Nkoaranga Lutheran Hospital,Electrosurgery Unit (ESU),Birtcher Medical Systems,7-797,41711035196.0,Other,,"Don’t understand, need ground??"
2011,Tanzania,Nkoaranga Lutheran Hospital,Pulse Oximeter,Nellcor ,N-200,20076688.0,Installation/Training,Repaired,Tested and working (created swahili instructions)
2011,Tanzania,Nkoaranga Lutheran Hospital,Other,Nellcor,PROPAO 106EL,BD06039 MD10981,Power Supply,,Missing Powercord & probes + supplies
2011,Tanzania,Nkoaranga Lutheran Hospital,Other,SpaceLabs Medical,90309.0,309-005364,Other,,Has powercord but missing many input probes + supplies
2011,Tanzania,Nkoaranga Lutheran Hospital,"Lamp, examination",Global Health Ministries,151000.0,1454.0,Electric Simple,Repaired,got the best from 2 lights and made 1 working one (minor surg)
2011,Tanzania,Nkoaranga Lutheran Hospital,"Autoclave (lab, surgery, and other)",IDEN,501-S,,Mechanical Simple,Abandoned,Bad seal - use silcon
2011,Tanzania,Nkoaranga Lutheran Hospital,Anesthesia Machine,NARKOMED,,,Installation/Training,Abandoned,Need gas tanks (O2 + NO2) $$$ + training
2011,Tanzania,Nkoaranga Lutheran Hospital,"Autoclave (lab, surgery, and other)",Harvey,Chemiclave 5000,,Other,Abandoned,"Made Powercord, Need to test and Train for Dr. Frank (Dentist + X-ray doc) [Needs Vapo Steril]"
2011,Tanzania,Nkoaranga Lutheran Hospital,"Oven (laboratory, not kitchen)",Hallo,,,Electric Simple,,Needed new powercord and test and needs shelves
2011,Tanzania,Nkoaranga Lutheran Hospital,X-Ray Machine,Siemens,Monodor,,Other,Abandoned,Adviced on movement/removal of this old equipment
2011,Tanzania,Nkoaranga Lutheran Hospital,Washing Machine,Samsung,,,Other,,Lack of Power so wouldn’t run (at Orphanage)
2011,Tanzania,Nkoaranga Lutheran Hospital,"Lamp, surgical",DRE,DRE051513,510332.0,Installation/Training,Repaired,Installation & Train surg lights & Fix Wiring (converted to 220V) (Major Surg)
2011,Tanzania,Nkoaranga Lutheran Hospital,"Lamp, surgical",DRE,DRE051513,,Installation/Training,Repaired,ViSION Excel (Major Surg)
2011,Tanzania,Nkoaranga Lutheran Hospital,Other,SONY,,,Mechanical Simple,Repaired,Car Radio - Fix Lower Volume Button used spring from a pen plus superglue
2011,Tanzania,Nkoaranga Lutheran Hospital,Aspirator/Suction Machine,ATMOS,RP 25 3ltr.,0Y688245035,Other,Repaired,Cleaned and Tested Works Perfect (was in storage)
2011,Tanzania,Nkoaranga Lutheran Hospital,Infant Warmer (radiant or other),Ohmeda,3300.0,-,Installation/Training,,Train only Manual mode
2011,Tanzania,Nkoaranga Lutheran Hospital,Scales (laboratory and in wards),Olympic Medical,56350.0,1071.0,Installation/Training,Repaired,"Smart Scale, Power Supply on the wall faulty (get batteries)"
2011,Tanzania,Nkoaranga Lutheran Hospital,Other,Tronics,,,Mechanical Simple,Repaired,"Powerstrip, old plug was fried and replaced it"
2011,Tanzania,Nkoaranga Lutheran Hospital,Ultrasound Machine (imaging),Siemens,Sonoline SI-400,WE31105,Installation/Training,,Works but has poor resolution/ Could be used for Training (Get Battery backup??)
2011,Tanzania,Nkoaranga Lutheran Hospital,Generator,Stamford,,,Mechanical Simple,,Hospital AC Generator (apparantly a loose screw and their fundi fixed it with our tools)
2011,Tanzania,Nkoaranga Lutheran Hospital,Scales (laboratory and in wards),Health o meter,,,Installation/Training,,Calibrate (2 Liters of Water = 2 kg) and Train (good b/c it works without power)
2011,Tanzania,Nkoaranga Lutheran Hospital,ECG Machine,Remco Italia,Cardioline eta-system,,Installation/Training,,Very Old but Works but something is wrong with printer?
2011,Tanzania,KCMC/Moshi,Electrosurgery Unit (ESU),Eschmann,TD411-S,11019.0,Electric Simple,Abandoned,Missing two circuit boards. Abandoned due to incompatible spare parts.
2011,Tanzania,KCMC/Moshi,Electrosurgery Unit (ESU),Eschmann,TD411-RS,647.0,,,IN PROGRESS
2011,Tanzania,KCMC/Moshi,Other,Kenwood,,,,Repaired,Tea kettle only heats to 85 degrees but maintains that temperature indefinitely. Other fundi said it worked well enough.
2011,Tanzania,KCMC/Moshi,"Lamp, examination",National,,,Power Supply,Abandoned,"Burnt-out lightbulb, dead battery."
2011,Tanzania,KCMC/Moshi,"Lamp, examination",Mwanga,UL-2268,,Electric Simple,Repaired,Bulb not set properly.
2011,Tanzania,KCMC/Moshi,"Lamp, examination",Mwanga,UL-2268,,Power Supply,,Broken plug and discharged battery.
2011,Tanzania,KCMC/Moshi,"Lamp, examination",Mwanga,UL-2268,,Power Supply,,Broken plug and discharged battery.
2011,Tanzania,KCMC/Moshi,Pulse Oximeter,Nellcor Puritan Bennett,NPB-40,34975.0,Power Supply,Abandoned,"Cleaned, replaced batteries"
2011,Tanzania,KCMC/Moshi,Pulse Oximeter,Nellcor Puritan Bennett,NPB-40,,Other,Abandoned,Bad probe and other problem
2011,Tanzania,Selian Lutheran Hospital/Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Tycos,,207242037.0,Mechanical Simple,Repaired,Missing cuff
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Bird,Portabird 5400,1538328.0,Installation/Training,,"Nebulizer - Incorrect mask, but works with current mask"
2011,Tanzania,Selian Lutheran Hospital/Arusha,"Lamp, surgical",Voroscope,,,Electric Simple,Repaired,loose connection for light
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Nikai,,,Mechanical Simple,Repaired,No lid
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Nikai,,,Electric Simple,Repaired,loose wiring
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Airstar,,,Mechanical Simple,Repaired,broken switch
2011,Tanzania,Selian Lutheran Hospital/Arusha,"Lamp, surgical",Luxtec,1300.0,803884.0,Electric Simple,Repaired,CH 2 light socket broken - returned with one working light
2011,Tanzania,Selian Lutheran Hospital/Arusha,Vaccine Refrigerator,Electrolux,RCW50EG,3051087.0,,,Cooling gas replaced
2011,Tanzania,Selian Lutheran Hospital/Arusha,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Reister,0124 Precisa N,90763946.0,Mechanical Simple,Repaired,Pump Loose
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Scott,SP 1275,60308.0,Power Supply,Abandoned,Battery; Dead
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Geeprs,GK6651,,"Mechanical Simple, Power Supply",Repaired,"Teakettle; broken lid, loose handle, broken switch, no plug"
2011,Tanzania,Selian Lutheran Hospital/Arusha,"Blood Pressure Device, Automatic (NIBP)",Schwarzhaupf,Tonotest,210786600.0,Electric Simple,Abandoned,"Dead batteries, broken button, circuitry loose"
2011,Tanzania,Selian Lutheran Hospital/Arusha,Oxygen Concentrator,Mobilaire V,IRC30102,16A52540,Other,Abandoned,Zeolite crystals expired
2011,Tanzania,Selian Lutheran Hospital/Arusha,Other,Sherwood Scientific,,,Power Supply,Repaired,Charger; missing power cord
2011,Tanzania,Selian Lutheran Hospital/Arusha,Oxygen Concentrator,Purritan Bennett Corporation,,0189F27741,Motor,Abandoned,"replaced motor, tested but concentration is not high enough"
2011,Tanzania,Selian Lutheran Hospital/Arusha,Transformer,Ampex Mobile power,Ax756In,821397.0,Other,Abandoned,unkown problem
2011,Tanzania,Selian Lutheran Hospital/Arusha,Incubator (infant),Vickers,Mk2,,"Electric Simple, Mechanical Simple",Abandoned,Heating element burned out; water basin has holes
2011,Nicaragua,"Velez Paiz, Managua",Infant Warmer (radiant or other),Air Shields,PM78-1,HX13387,Electric Simple,Repaired,Resistor had lost connection
2011,Nicaragua,"Velez Paiz, Managua",Electrosurgery Unit (ESU),n/a,n/a,n/a,Electric Simple,Repaired,Built an adaptor for an electrode for a different plug
2011,Nicaragua,"Velez Paiz, Managua",Other,Mada Medical Products,DOL-702A-AA,NN 013309,Plumbing,Repaired,Cleaned inside of the nebulizer
2011,Nicaragua,"Velez Paiz, Managua",other,Mada Medical Products,DOL-702A-AA,LR37209,Plumbing,Repaired,Cleaned inside of the nebulizer
2011,Nicaragua,"Velez Paiz, Managua",Infant Warmer (radiant or other),Nakamura Medical IND. Co. LTD,NIW-2000,S19301241,Electric Simple,Repaired,"Wasn't heating up: cleaned fuses, replaced transistor but still only functions from controls 6-8 (1-5 = 0), wrote a note to explain machine functions"
2011,Nicaragua,"Velez Paiz, Managua",Electrosurgery Unit (ESU),Valleylab,Force 4B,POF 2208B,Other,Repaired,
2011,Nicaragua,"Velez Paiz, Managua",Infant Warmer (radiant or other),Airshields,PM78-1,CPO 3007,Mechanical Simple,Repaired,Missing a bottom wheel: Replaced the bottom section of the warmer with another from the bodega
2011,Nicaragua,"Velez Paiz, Managua",Infusion pumps,Becton Dickinson,Program1,15151343.0,Electric Simple,Repaired,Contacts on the front panel needed to be cleaned
2011,Nicaragua,"Velez Paiz, Managua",Infant Warmer (radiant or other),Nakamura Medical IND. Co. LTD,NIW-2000,9301244.0,Electric Simple,Repaired,Resistor had lost connection
2011,Nicaragua,"Velez Paiz, Managua",Infant Warmer (radiant or other),Airshields,PM78-1,YG17496,Mechanical Simple,Repaired,Switch was lubricated for better contact
