country,fix,equipment,engineers,sn,oem,year,model,hospital,notes,result
Rwanda,Mechanical Simple,Aspirator/Suction Machine,,,Cami,2014,Askir 30,Nyagatare,New bottle,Repaired
Rwanda,Mechanical Simple,Aspirator/Suction Machine,,,Cami,2014,Askir 30,Nyagatare,New bottle,Repaired
Rwanda,Plumbing,Aspirator/Suction Machine,,,Michiels,2014,ML AP 100940-D,Nyagatare,New bottle,Repaired
Rwanda,Other,Oxygen Concentrator,,,,2014,,Nyagatare,Maintenance,Repaired
Rwanda,Mechanical Simple,Incubator (infant),,41270.0,Weyer,2014,Thermocare,Nyagatare,"Common batterie problem in Rwanda, contact for replacement: Costica Uwitonze +250 788 844 764",Repaired
Rwanda,Mechanical Simple,Incubator (infant),,41253.0,Weyer,2014,Thermocare,Nyagatare,+ windows broken,Repaired
Rwanda,Electric Simple,Incubator (infant),,,Weyer,2014,Thermocare,Nyagatare,+ switch borken,Repaired
Rwanda,Installation/Training,"Autoclave (lab, surgery, and other)",,13x21928,Cominox,2014,Stericlave 24,Nyagatare,Passwort not given with donation,Repaired
Rwanda,Plumbing,Oxygen Concentrator,,,,2014,,Nyagatare,Tube clamped,Repaired
Rwanda,,Ultrasound Machine (imaging),,,,2014,,Nyagatare,"not used for 20 years, perhaps monitor problem",Abandoned
Rwanda,Mechanical Simple,"Furniture (chairs, tables, and beds)",,,,2014,,Nyagatare,Joint broken,Repaired
Rwanda,Mechanical Simple,Scales (laboratory and in wards),,,,2014,,Nyagatare,,Repaired
Rwanda,Mechanical Simple,"Lamp, surgical",,93/0019,Dr. March,2014,Ty 1561,Nyagatare,Fuse and stand broken,Repaired
Rwanda,Electric Simple,Other,,,extension cord,2014,,Nyagatare,Power cord broken,Repaired
Rwanda,Electric Simple,Vaccine Refrigerator,,,,2014,,Nyagatare,"Board burned, replacement available at hospital",Repaired
Rwanda,Plumbing,Oxygen Concentrator,,,,2014,,Nyagatare,Power cord and tube broken,Repaired
Rwanda,Electric Simple,"Lamp, surgical",,v6098,Hannalux,2014,Kiefer,Nyagatare,New design with LED bulbs,Repaired
Rwanda,Electric Simple,Other,,,,2014,Welding machine,Nyagatare,Power cord broken,Repaired
Rwanda,Electric Simple,Incubator (infant),,,GE,2014,Lullaby Incubator XP,Nyagatare,Burned capacitor,Repaired
Rwanda,Installation/Training,ECG Machine,,,,2014,,Nyagatare,"New device, testing and installation",Repaired
Rwanda,Installation/Training,ECG Machine,,,,2014,,Nyagatare,"New device, testing and installation",Repaired
Rwanda,Installation/Training,X-Ray Film View Box,,,via canova,2014,,Nyagatare,User error,Repaired
Rwanda,Power Supply,Scales (laboratory and in wards),,,,2014,,Nyagatare,Battery empty,Repaired
Rwanda,Installation/Training,"Blood Pressure Device, Automatic (NIBP)",,,Bokang,2014,BK6032,Nyagatare,Wrong settings,Repaired
Rwanda,Plumbing,"Blood Pressure Device, Automatic (NIBP)",,,Bokang,2014,BK6032,Nyagatare,"Cuff broken, replaced",Repaired
Rwanda,Electric Simple,Other,,,Zaiba,2014,Mixer,Nyagatare,Switch broken,Repaired
Rwanda,Mechanical Simple,"Furniture (chairs, tables, and beds)",,,Bed,2014,,Nyagatare,wheel broken,Abandoned
Rwanda,Electric Simple,Other,,,Extension cord,2014,,Nyagatare,Power cord broken,Repaired
Rwanda,Electric Simple,Other,,,Extension cord,2014,,Nyagatare,Power cord broken,Repaired
Rwanda,Electric Simple,Other,,,Extension cord,2014,,Nyagatare,Power cord broken,Repaired
Rwanda,Other,Other,,,Biotek Eliza,2014,,Nyagatare,Maintanance,Repaired
Rwanda,Other,Other,,,Biotek Eliza,2014,,Nyagatare,Maintanance,Repaired
Rwanda,Electric Simple,Oxygen Concentrator,,,,2014,,Nyagatare,Bad power connection,Repaired
Rwanda,Electric Simple,Pulse Oximeter,,,,2014,,Nyagatare,Bad connection of probe,Repaired
Nicaragua,Installation/Training,Centrifuge (electric or hand operated) ,"Emily Kuhn, Jessica Yan",,Clay Adams,2014,Serofuge 2002,Gaspar Garcia Liviana/RIVAS,"staff didn't know the function of a button, thought it was broken",Repaired
Nicaragua,Electric Simple,Defibrillator (automatic and manual),"Emily Kuhn, Jessica Yan",,Zoll,2014,m-series,Gaspar Garcia Liviana/RIVAS,paddle or paddle cable not working ,Abandoned
Nicaragua,Electric Simple,Fetal steth (fetoscope or  Doppler),"Emily Kuhn, Jessica Yan",,Analogic,2014,Fetalgard Lite,Gaspar Garcia Liviana/RIVAS,"tranducer cable cut/frayed beyond repair, transducer interior broken ",Abandoned
Nicaragua,Other,Fetal steth (fetoscope or  Doppler),"Emily Kuhn, Jessica Yan",,Corometrics ,2014,118.0,Gaspar Garcia Liviana/RIVAS,unknown problem ,Abandoned
Nicaragua,Installation/Training,Other,"Emily Kuhn, Jessica Yan",,Cobas,2014,b 121 ,Gaspar Garcia Liviana/RIVAS,Gas analyzer- needed translation of annual maintenance procedure,Repaired
Nicaragua,Electric Simple,"Autoclave (lab, surgery, and other)","Emily Kuhn, Jessica Yan",,Tuttnauer,2014,,Gaspar Garcia Liviana/RIVAS,"thermal sensor cable broken and programming problem, sent to Managua bc of warranty",Abandoned
Nicaragua,Mechanical Simple,Telephone,"Emily Kuhn, Jessica Yan",,SIEMENS,2014,,Gaspar Garcia Liviana/RIVAS,some buttons not working,Abandoned
Nicaragua,Mechanical Simple,Other,"Emily Kuhn, Jessica Yan",,,2014,,Gaspar Garcia Liviana/RIVAS,Nebulizer-tube connector broken,Repaired
Nicaragua,Power Supply,Ophthalmoscope (eye examination instrument) ,"Emily Kuhn, Jessica Yan",,Heine,2014,,Gaspar Garcia Liviana/RIVAS,plug prong broken off,Repaired
Nicaragua,Other,Other,"Emily Kuhn, Jessica Yan",,Puritan Bennett,2014,7200.0,Gaspar Garcia Liviana/RIVAS,Ventilator -preventative maintenance,Repaired
Nicaragua,Other,Other,"Emily Kuhn, Jessica Yan",,Puritan Bennett,2014,7200.0,Gaspar Garcia Liviana/RIVAS,Ventilator -preventative maintenance,Repaired
Nicaragua,Other,Other,"Emily Kuhn, Jessica Yan",,Puritan Bennett,2014,7200.0,Gaspar Garcia Liviana/RIVAS,Ventilator -preventative maintenance,Repaired
Nicaragua,,Other,"Emily Kuhn, Jessica Yan",,Ultroid,2014,,Gaspar Garcia Liviana/RIVAS,Hemorrhoid management system-needs grounding pad,Abandoned
Nicaragua,Installation/Training,Infusion pumps,"Emily Kuhn, Jessica Yan",,,2014,,Gaspar Garcia Liviana/RIVAS,translated manual,Repaired
Nicaragua,Other,Other,"Emily Kuhn, Jessica Yan",,Newport,2014,e360,Gaspar Garcia Liviana/RIVAS,Ventilator -preventative maintenance,Repaired
Nicaragua,,ECG Machine,"Emily Kuhn, Jessica Yan",,Marquette,2014,Mac 5000,Gaspar Garcia Liviana/RIVAS,needed new software,Abandoned
Nicaragua,,Defibrillator (automatic and manual),"Emily Kuhn, Jessica Yan",,Cardioversor,2014,Life 400 Plus Futura,Gaspar Garcia Liviana/RIVAS,needed charging/discharging information,Repaired
Nicaragua,Power Supply,Pulse Oximeter,"Emily Kuhn, Jessica Yan",MD131103,Meditech ,2014,PO+,Gaspar Garcia Liviana/RIVAS,replaced batteries ,Repaired
Nicaragua,Installation/Training,ECG Machine,"Emily Kuhn, Jessica Yan",,,2014,,Gaspar Garcia Liviana/RIVAS,"full memory, staff couldn't read notification ",Repaired
Nicaragua,Other,Other,"Emily Kuhn, Jessica Yan",,,2014,,Gaspar Garcia Liviana/RIVAS,"x-ray printer, preventative maintenance",Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Mechanical Simple,Scales (laboratory and in wards),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Other,Aspirator/Suction Machine,Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,Aspirator/Suction Machine,Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Power Supply,Incubator (infant),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Other,Incubator (infant),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,all the electronics are missing,
Tanzania,,Incubator (infant),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,,Infant Warmer (radiant or other),Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)",Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Mechanical Simple,Stethoscopes,Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,Repaired
Tanzania,Installation/Training,Stethoscopes,Semira Hissabu and Bolette Hansen,,,2014,,Ithna-asheri,,
Tanzania,Motor,"Blood Pressure Device, Automatic (NIBP)","Lyon Chen, Paul Howell",10000966.0,Riester,2014,ri-champion N,Tengeru/Meru District,Motor not producing enough pressure in cuff,Repaired
Tanzania,Electric Simple,Oxygen Concentrator,"Lyon Chen, Paul Howell",N/A,Nuvo,2014,Mark 5,Tengeru/Meru District,Blown fuse in plug,Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Lyon Chen, Paul Howell",N/A,N/A,2014,N/A,Tengeru/Meru District,Scale displayed 200lbs default,Repaired
Tanzania,Power Supply,"Lamp, examination","Lyon Chen, Paul Howell",N/A,N/A,2014,N/A,Tengeru/Meru District,Changed battery,Repaired
Tanzania,Power Supply,"Lamp, examination","Lyon Chen, Paul Howell",N/A,N/A,2014,N/A,Tengeru/Meru District,Changed battery,Repaired
Tanzania,Other,Oxygen Concentrator,"Lyon Chen, Paul Howell",110133.0,Longfei,2014,LFY-I-8E,Tengeru/Meru District,"Low flow in one valve, cleaned out bottle = equal flow in both valves, broken diaphram = epoxyed/superglued diaphram, zeolite tanks depleted",Abandoned
Tanzania,Electric Simple,"Lamp, surgical","Lyon Chen, Paul Howell",802358.0,Mach,2014,M2,Tengeru/Meru District,"Cord was cut, missing plug, missing transformer. Inserted 220V halogen bulb, replaced light cover",Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Lyon Chen, Paul Howell",N/A,N/A,2014,N/A,Tengeru/Meru District,"Calibration off, height measure rusty/stuck",Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Lyon Chen, Paul Howell",N/A,ADE,2014,N/A,Tengeru/Meru District,"Missing wheel, height measure missing",Repaired
Tanzania,Motor,Aspirator/Suction Machine,"Lyon Chen, Paul Howell",1575.0,Cami,2014,Askir 115,Tengeru/Meru District,"Motor wasn't producing suction, container float had leak",Repaired
Tanzania,Mechanical Simple,Other,"Lyon Chen, Paul Howell",,Rotator,2014,,Tengeru/Meru District,"3 of 5 tubes were not rotating, moved gear into place",Repaired
Tanzania,Mechanical Simple,Scales (laboratory and in wards),"Lyon Chen, Paul Howell",,,2014,,Tengeru/Meru District,"Not calibrated, tinkered with mechanism to get more exact measurement",Repaired
Tanzania,Installation/Training,Anesthesia Machine,"Lyon Chen, Paul Howell",EYZYX105,Aeonmed,2014,7400A,Tengeru/Meru District,Staff unsure how to use; tubing/sensors were not set up correctly,Repaired
Tanzania,Other,Stethoscopes,"Lyon Chen, Paul Howell",N/A,Riester,2014,N/A,Tengeru/Meru District,Missing plastic diaphram,Repaired
Tanzania,Electric Simple,Other,"Lyon Chen, Paul Howell",,Fume Hood,2014,,Tengeru/Meru District,"Cut wire in plug, wall socket switch unreliable, staff unsure how to use machine",Repaired
Tanzania,Other,Centrifuge,"Lyon Chen, Paul Howell",,,2014,,Tengeru/Meru District,"Disconnected brush, broken hinges. Replaced hinges and inserted new brush",Repaired
Tanzania,Mechanical Simple,"Blood Pressure Device, Manual (Sphygmomanometer) (Fixed or portable)","Lyon Chen, Paul Howell",,7 of them,2014,,Tengeru/Meru District,"Missing bags, recalibration, fixing of bellows, etc",Repaired
Tanzania,Mechanical Simple,Centrifuge,"Lyon Chen, Paul Howell",,,2014,,Tengeru/Meru District,Fixed locking mechanism,Repaired
Tanzania,Mechanical Simple,Oxygen Concentrator,"Lyon Chen, Paul Howell",,Longfei,2014,LFY-I-8E,Tengeru/Meru District,Malfunctioning pressure release valve,Repaired
Tanzania,Electric Simple,Other,"Lyon Chen, Paul Howell",,Sanyo,2014,Air Conditioner,Tengeru/Meru District,Replaced battery in remote,Repaired
Tanzania,Other,Other,"Lyon Chen, Paul Howell",29404.0,Rolando,2014,SRI 3/AS Dental Machine,Tengeru/Meru District,"Blockage in handpiece, switch malfunctioning, motor malfunctioning after certain time",Abandoned
Tanzania,,Fetal steth (fetoscope or  Doppler),"Lyon Chen, Paul Howell",,,2014,,Tengeru/Meru District,,
Tanzania,Electric Simple,Aspirator/Suction Machine,"Lyon Chen, Paul Howell",2096.0,Gima,2014,Tobi Clinic,Tengeru/Meru District,"Was not installed, also blown fuse. Replaced fuse",Repaired
Tanzania,Other,"Autoclave (lab, surgery, and other)","Lyon Chen, Paul Howell",,N/A,2014,YX.DXY,Tengeru/Meru District,"Alarm going off incessantly, taking almost 3 hrs to complete sterilization. Changed water level",Abandoned
